id,molecular_weight,aromaticity,instability,flexibility,gravy_kd,gravy_bm,gravy_ro,isoelectric_point,charge_at_pH_3,charge_at_pH_5,charge_at_pH_7,charge_at_pH_9,charge_at_pH_11,helix_fract,turn_fract,sheet_fract,molar_ext_coef_cysteines,molar_ext_coef_cystines
Monosiga-brevicollis_tr|A9V7D0|A9V7D0-MONBE,79450.67090000036,0.055873925501432664,43.82050143266492,1.0102581320450872,-0.7593558776167466,0.45772592592592565,0.7054879227053147,9.076262092590333,127.79585987902709,41.164440546020955,11.747412514039539,1.3282785916327668,-65.77833093699746,0.24785100286532952,0.18911174785100285,0.28796561604584525,57870.0,58120.0
Pristionchus-pacificus_tr|A0A8R1UCY6|A0A8R1UCY6-PRIPA,87287.38440000042,0.05672823218997361,49.68708443271794,1.0127878518518512,-0.9881629629629614,0.4217967407407419,0.7000948148148148,9.253872489929197,158.64065119859484,47.338658142555815,14.724964503788016,5.021114729123184,-66.61631944986406,0.23746701846965698,0.18469656992084432,0.2546174142480211,45840.0,45965.0
Caenorhabditis-elegans_tr|Q95QN2|Q95QN2-CAEEL,84775.92300000036,0.06164383561643836,53.11878082191803,1.0136771314250548,-1.0430286241920579,0.4236049553708835,0.6982902431517387,9.295261192321778,154.18025386281292,47.94707843663875,16.626851444033775,6.483646753838826,-69.252693139637,0.23698630136986298,0.17808219178082194,0.26575342465753427,58330.0,58455.0
Petromyzon-marinus_tr|S4RWC5|S4RWC5-PETMA,87549.89710000038,0.05874499332443257,59.1001602136184,1.014688559004349,-1.0196881091617929,0.43057759784075617,0.6975918428550009,9.301772499084471,166.26012006715544,55.9863264509912,22.849139382941132,8.644030709200337,-81.56660570613411,0.2403204272363151,0.16021361815754337,0.260347129506008,58330.0,58705.0
Pan-troglodytes_tr|A0A2I3RUL8|A0A2I3RUL8-PANTR,83573.64100000041,0.06456043956043955,50.597129120879295,1.0130802469135802,-0.9476543209876535,0.44630540123456774,0.7004012345679018,8.671658515930176,143.838722242304,47.30137597853091,9.473213906360712,-5.973218027880378,-91.18328442795212,0.24038461538461536,0.1991758241758242,0.23763736263736263,91330.0,91830.0
Ustilago-maydis_tr|A0A0D1C3B6|A0A0D1C3B6-USTMA,77129.82490000025,0.05491329479768786,52.94653179190772,1.0083732943469763,-0.6579109811565956,0.46390951916829104,0.708170890188435,8.948292350769044,112.40184029558853,36.820267941599994,7.997041558353914,-0.6237934381491215,-53.3336617113475,0.24277456647398843,0.23410404624277456,0.2543352601156069,49850.0,49975.0
Agaricus-bisporus_tr|A0A8H7F6N1|A0A8H7F6N1-AGABI,78939.6183000003,0.05070422535211268,45.093943661971984,1.0093803418803409,-0.6298195631528968,0.47242671731560615,0.7087179487179494,8.138827323913574,110.95598148169819,28.916055382777174,2.579417669541769,-5.808181266809882,-59.970071069249656,0.2408450704225352,0.2380281690140845,0.2577464788732394,49390.0,49515.0
Schizosaccharomyces-pombe_sp|Q9Y7T7|PRP28-SCHPO,74222.81080000034,0.05438066465256798,53.483685800604384,1.0072247706422028,-0.4922697927285085,0.48044461433910957,0.7118654434250775,9.008247947692869,105.70013191940838,33.11051580434581,8.556601031297816,0.10868219468744655,-54.15189144567173,0.2719033232628399,0.21299093655589124,0.27945619335347427,53400.0,53525.0
Neurospora-crassa_sp|Q7SEL0|PRP28-NEUCR,82611.46390000035,0.057692307692307696,46.37211538461558,1.0118729938271607,-0.8746450617283947,0.45017762345678963,0.7024027777777779,9.075424003601075,129.58010393778306,39.42916584632472,11.498142559208446,1.3145512885065074,-66.77835834694675,0.228021978021978,0.2239010989010989,0.2692307692307692,55810.0,56060.0
Yarrowia-lipolytica_sp|Q6C024|PRP28-YARLI,63749.351200000194,0.05565217391304347,41.3090434782609,1.0065310601606905,-0.4338820301783267,0.49174132863021736,0.7121497158534205,9.29783992767334,87.77224624217135,31.233425431346014,14.960262298276987,5.521610668207174,-50.12225005405588,0.26956521739130435,0.21391304347826087,0.2539130434782608,48360.0,48735.0
